WigleWifi-1.4,appRelease=2.25,model=MotoG3,release=6.0,device=osprey_u2,display=MPIS24.65-25.1-19,board=msm8916,brand=motorola,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-10-31 12:23:25,11,-75,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],2017-10-31 12:23:25,6,-66,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:08:96:48,Ariel_University,[ESS],2017-10-31 12:23:25,11,-85,32.10383152,35.20698681,669,3,WIFI
00:27:19:e3:2d:fe,AUC_51_3,[ESS],2017-10-31 12:23:25,9,-83,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:09:84:f8,Ariel_University,[ESS],2017-10-31 12:23:25,1,-82,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:16:06:38,Ariel_University,[ESS],2017-10-31 12:23:25,6,-74,32.10383152,35.20698681,669,3,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-10-31 12:23:25,5,-67,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:08:a3:b8,Ariel_University,[ESS],2017-10-31 12:23:25,1,-79,32.10383152,35.20698681,669,3,WIFI
00:25:86:cc:07:b2,KCG_54,[ESS],2017-10-31 12:23:25,2,-65,32.10383152,35.20698681,669,3,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],2017-10-31 12:23:25,1,-76,32.10383152,35.20698681,669,3,WIFI
3c:52:82:ef:d4:1e,DIRECT-1D-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-10-31 12:23:25,6,-80,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:16:04:d8,Ariel_University,[ESS],2017-10-31 12:23:25,11,-84,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:55:44:73,island-154470,[WPA2-PSK-CCMP][ESS],2017-10-31 12:23:25,8,-71,32.10383152,35.20698681,669,3,WIFI
70:5a:0f:5c:b0:0b,DIRECT-80-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-10-31 12:23:25,6,-76,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:15:1f:58,Ariel_University,[ESS],2017-10-31 12:23:25,1,-76,32.10383152,35.20698681,669,3,WIFI
1c:b9:c4:15:36:88,Ariel_University,[ESS],2017-10-31 12:23:25,11,-80,32.10383152,35.20698681,669,3,WIFI
42501_10072_480144,012 Mobile,HSDPA;il,2017-10-31 12:23:25,0,-71,32.10383152,35.20698681,669,3,GSM
1c:b9:c4:16:ec:58,Ariel_University,[ESS],2017-10-31 12:23:27,1,-85,32.10386229,35.20699744,670,3,WIFI
ec:8c:a2:08:a3:38,Ariel_University,[ESS],2017-10-31 12:23:27,6,-86,32.10386229,35.20699744,670,3,WIFI
f0:b0:52:3e:d1:e8,Ariel_University,[ESS],2017-10-31 12:23:27,11,-89,32.10386229,35.20699744,670,3,WIFI
1c:b9:c4:16:28:88,Ariel_University,[ESS],2017-10-31 12:23:29,11,-82,32.10388357,35.20700491,671,3,WIFI
1c:b9:c4:14:38:28,Ariel_University,[ESS],2017-10-31 12:23:29,11,-85,32.10388357,35.20700491,671,3,WIFI
f0:b0:52:3e:d4:58,Ariel_University,[ESS],2017-10-31 12:23:31,11,-81,32.10390785,35.20700856,671,3,WIFI
1c:b9:c4:15:36:78,Ariel_University,[ESS],2017-10-31 12:23:31,11,-87,32.10390785,35.20700856,671,3,WIFI
ec:8c:a2:09:8c:a8,Ariel_University,[ESS],2017-10-31 12:23:33,11,-87,32.10392958,35.207015,671,3,WIFI
00:1a:dd:e3:08:84,PEPWAVE_5071,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-31 12:23:37,9,-89,32.10394294,35.2070428,673,4,WIFI
f0:b0:52:3e:c7:88,Ariel_University,[ESS],2017-10-31 12:23:37,1,-85,32.10394294,35.2070428,673,4,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-10-31 12:23:41,5,-62,32.10396407,35.20707118,674,3,WIFI
00:27:22:f3:e1:f4,,[ESS],2017-10-31 12:23:41,11,-76,32.10396407,35.20707118,674,3,WIFI
00:27:22:f3:e1:da,,[ESS],2017-10-31 12:23:43,6,-80,32.10398098,35.20708019,674,3,WIFI
1c:b9:c4:15:1f:58,Ariel_University,[ESS],2017-10-31 12:23:45,1,-69,32.10399617,35.20709151,674,3,WIFI
ec:8c:a2:08:a3:38,Ariel_University,[ESS],2017-10-31 12:23:45,6,-81,32.10399617,35.20709151,674,3,WIFI
1c:b9:c4:14:38:28,Ariel_University,[ESS],2017-10-31 12:23:45,11,-77,32.10399617,35.20709151,674,3,WIFI
30:e1:71:0d:e0:71,DIRECT-70-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-10-31 12:23:45,6,-92,32.10399617,35.20709151,674,3,WIFI
00:27:22:f3:e1:da,,[ESS],2017-10-31 12:23:47,6,-65,32.10398292,35.20708571,674,3,WIFI
1c:b9:c4:16:cd:68,Ariel_University,[ESS],2017-10-31 12:23:47,1,-88,32.10398292,35.20708571,674,3,WIFI
1c:b9:c4:15:36:88,Ariel_University,[ESS],2017-10-31 12:23:49,11,-71,32.10397322,35.20709055,674,3,WIFI
1c:b9:c4:15:36:78,Ariel_University,[ESS],2017-10-31 12:23:51,11,-81,32.10397053,35.20708835,674,3,WIFI
ec:8c:a2:0a:11:88,Ariel_University,[ESS],2017-10-31 12:23:51,1,-84,32.10397053,35.20708835,674,3,WIFI
ec:8c:a2:08:7b:88,Ariel_University,[ESS],2017-10-31 12:23:51,6,-86,32.10397053,35.20708835,674,3,WIFI
ec:8c:a2:08:a3:38,Ariel_University,[ESS],2017-10-31 12:23:52,6,-76,32.10397769,35.20707998,675,3,WIFI
34:0b:01:19:21:42,afikim-wifi,[ESS],2017-10-31 12:23:52,7,-83,32.10397769,35.20707998,675,3,WIFI
1c:b9:c4:15:1f:58,Ariel_University,[ESS],2017-10-31 12:24:00,1,-64,32.10406908,35.20707142,676,3,WIFI
ec:8c:a2:08:a9:28,Ariel_University,[ESS],2017-10-31 12:24:00,11,-90,32.10406908,35.20707142,676,3,WIFI
ec:8c:a2:26:d3:c8,Ariel_University,[ESS],2017-10-31 12:24:02,1,-88,32.10408465,35.20706203,676,4,WIFI
f0:b0:52:3e:d0:38,Ariel_University,[ESS],2017-10-31 12:24:02,6,-90,32.10408465,35.20706203,676,4,WIFI
00:27:22:f3:e0:7b,,[ESS],2017-10-31 12:24:04,6,-90,32.1041111,35.2070588,677,4,WIFI
1c:b9:c4:14:2b:a8,Ariel_University,[ESS],2017-10-31 12:24:06,6,-82,32.10414183,35.20705315,677,5,WIFI
1c:b9:c4:15:1c:b8,Ariel_University,[ESS],2017-10-31 12:24:06,1,-85,32.10414183,35.20705315,677,5,WIFI
1c:b9:c4:15:fd:48,Ariel_University,[ESS],2017-10-31 12:24:07,1,-86,32.10415414,35.20705889,678,4,WIFI
1c:b9:c4:15:0e:b8,Ariel_University,[ESS],2017-10-31 12:24:09,6,-88,32.10417663,35.20706247,678,3,WIFI
00:27:22:f3:e0:f6,,[ESS],2017-10-31 12:24:09,1,-90,32.10417663,35.20706247,678,3,WIFI
00:27:22:f3:e2:16,,[ESS],2017-10-31 12:24:09,1,-91,32.10417663,35.20706247,678,3,WIFI
f0:b0:52:3e:d0:38,Ariel_University,[ESS],2017-10-31 12:24:13,6,-85,32.10422216,35.20709405,676,3,WIFI
00:27:22:f3:e0:83,,[ESS],2017-10-31 12:24:17,11,-81,32.10426659,35.20711391,675,3,WIFI
1c:b9:c4:15:0e:b8,Ariel_University,[ESS],2017-10-31 12:24:19,6,-83,32.10429241,35.20709964,676,3,WIFI
1c:b9:c4:15:3d:78,Ariel_University,[ESS],2017-10-31 12:24:19,11,-86,32.10429241,35.20709964,676,3,WIFI
00:27:22:f3:e0:83,,[ESS],2017-10-31 12:24:21,11,-67,32.10431714,35.20710875,676,3,WIFI
ec:8c:a2:26:d3:c8,Ariel_University,[ESS],2017-10-31 12:24:21,1,-78,32.10431714,35.20710875,676,3,WIFI
1c:b9:c4:15:3d:78,Ariel_University,[ESS],2017-10-31 12:24:23,11,-81,32.10433727,35.20711065,677,3,WIFI
ec:8c:a2:08:ad:e8,Ariel_University,[ESS],2017-10-31 12:24:23,6,-88,32.10433727,35.20711065,677,3,WIFI
1c:b9:c4:15:3d:78,Ariel_University,[ESS],2017-10-31 12:24:25,11,-76,32.10435993,35.20712527,676,3,WIFI
ec:8c:a2:26:d2:c8,Ariel_University,[ESS],2017-10-31 12:24:25,11,-85,32.10435993,35.20712527,676,3,WIFI
1c:b9:c4:15:0e:b8,Ariel_University,[ESS],2017-10-31 12:24:27,6,-76,32.10438313,35.20713002,676,3,WIFI
ec:8c:a2:26:d3:c8,Ariel_University,[ESS],2017-10-31 12:24:27,1,-72,32.10438313,35.20713002,676,3,WIFI
f0:b0:52:3e:da:18,Ariel_University,[ESS],2017-10-31 12:24:27,11,-82,32.10438313,35.20713002,676,3,WIFI
